project_id,project_name,project_type,client_id,project_manager_id,location,plot_number,dm_permit_no,contract_value_aed,start_date,end_date,status,completion_pct,gfa_sqm,floors,description,duration_days,elapsed_days,remaining_days,budget_variance_pct,total_cost,total_revenue,profit,risk_score,health_status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
PRJ-017,Festival City Expansion,Commercial Office Building,CL-030,EMP-0071,Sheikh Zayed Road,Plot 558-12,DM-2021-998198,221507684,2021-07-31,2024-07-15,Completed,100,135667,8,Infrastructure - Bridges project in DIFC,1080,1080,0,9.51,242579929,221507684,-21072245,6.0,Amber,—,2021-07-31T14:47:00,2021-07-31T14:47:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-018,Silicon Oasis Tech Park,High-Rise Residential Tower,CL-036,EMP-0075,Business Bay,Plot 945-12,DM-2020-930244,60106214,2020-06-11,2021-07-06,Completed,100,163388,10,Utility Infrastructure project in Dubai South,390,390,0,-2.9,58365051,60106214,1741163,1.8,Green,—,2020-06-11T15:35:00,2020-06-11T15:35:00,system@alrashdeng.ae,1,True,—
PRJ-019,Sports City Stadium,High-Rise Residential Tower,CL-015,EMP-0112,JVC,Plot 439-72,DM-2024-904694,356433541,2024-07-26,2026-08-15,On Hold,53,167465,10,Hotel & Hospitality project in Al Quoz Industrial,750,585,165,-4.1,181164994,188909776,7744782,2.8,Green,—,2024-07-26T14:07:00,2024-07-26T14:07:00,system@alrashdeng.ae,1,True,High Budget
PRJ-020,Motor City Showroom,High-Rise Residential Tower,CL-022,EMP-0061,Dubai South,Plot 660-67,DM-2021-492052,412656794,2021-09-01,2023-02-23,Completed,100,189050,2,High-Rise Residential Tower project in Palm Jumeirah,540,540,0,4.77,432329412,412656794,-19672618,2.9,Green,—,2021-09-01T14:08:00,2021-09-01T14:08:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-021,Green Community Villas,Villa Development,CL-013,EMP-0008,DIP,Plot 320-59,DM-2022-964607,62424522,2022-02-25,2025-04-10,Completed,100,54959,6,Commercial Office Building project in Expo City,1140,1140,0,-7.37,57823010,62424522,4601512,3.7,Amber,—,2022-02-25T07:59:00,2022-02-25T07:59:00,system@alrashdeng.ae,1,True,"Long Duration,High Incident Rate"
PRJ-022,Academic City Campus,Hotel & Hospitality,CL-043,EMP-0076,Deira,Plot 237-64,DM-2022-104548,419542282,2022-08-25,2024-03-17,Completed,100,144031,1,Retail Mall project in Expo City,570,570,0,11.75,468849536,419542282,-49307254,5.2,Amber,—,2022-08-25T16:30:00,2022-08-25T16:30:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-023,Healthcare City Hospital Wing,Mixed-Use Development,CL-007,EMP-0062,JAFZA,Plot 616-50,DM-2023-539001,424339935,2023-07-31,2027-03-12,In Progress,84,164644,4,Infrastructure - Roads project in DIP,1320,946,374,-9.79,321547773,356445545,34897772,5.7,Amber,—,2023-07-31T12:18:00,2023-07-31T12:18:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-024,Media City Studios,Industrial Warehouse,CL-039,EMP-0101,Deira,Plot 406-90,DM-2020-674416,437072010,2020-06-29,2023-10-12,Completed,100,87289,9,Utility Infrastructure project in Dubai Hills Estate,1200,1200,0,-11.0,388999136,437072010,48072874,3.7,Amber,—,2020-06-29T10:13:00,2020-06-29T10:13:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-025,Internet City Office Block,Utility Infrastructure,CL-009,EMP-0101,Palm Jumeirah,Plot 615-70,DM-2022-828038,373621633,2022-12-12,2025-05-30,Completed,100,171953,6,School/Educational project in DIFC,900,900,0,-4.64,356281133,373621633,17340500,2.5,Green,—,2022-12-12T12:35:00,2022-12-12T12:35:00,system@alrashdeng.ae,1,True,High Budget
PRJ-026,Knowledge Park College,Utility Infrastructure,CL-046,EMP-0069,Bur Dubai,Plot 392-55,DM-2020-947568,317891735,2020-12-31,2024-06-13,Completed,100,8347,9,Commercial Office Building project in Business Bay,1260,1260,0,2.12,324628324,317891735,-6736589,2.1,Green,—,2020-12-31T13:09:00,2020-12-31T13:09:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-027,Investment Park Factory,Infrastructure - Roads,CL-049,EMP-0107,Palm Jumeirah,Plot 393-88,DM-2024-362732,364839973,2024-10-17,2026-01-10,Completed,100,43385,1,School/Educational project in Dubai South,450,450,0,-13.3,316309482,364839973,48530491,6.4,Red,—,2024-10-17T10:48:00,2024-10-17T10:48:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-028,Logistics City Distribution Center,Hotel & Hospitality,CL-007,EMP-0077,Bur Dubai,Plot 985-29,DM-2021-878476,22344357,2021-12-31,2025-10-11,Completed,100,174638,9,Industrial Warehouse project in Meydan,1380,1380,0,-4.24,21397061,22344357,947296,1.1,Green,—,2021-12-31T15:50:00,2021-12-31T15:50:00,system@alrashdeng.ae,1,True,Long Duration
PRJ-029,Maritime City Terminal,Industrial Warehouse,CL-025,EMP-0069,JAFZA,Plot 665-7,DM-2022-113595,377017222,2022-05-31,2024-11-16,Completed,100,199948,5,Villa Development project in JVC,900,900,0,4.93,395622294,377017222,-18605072,2.3,Green,—,2022-05-31T10:58:00,2022-05-31T10:58:00,system@alrashdeng.ae,1,True,High Budget
PRJ-030,Textile City Warehouse,School/Educational,CL-039,EMP-0053,Dubai Hills Estate,Plot 401-58,DM-2021-286044,410395362,2021-06-04,2024-04-19,Completed,100,183954,2,Mixed-Use Development project in Palm Jumeirah,1050,1050,0,2.65,421277242,410395362,-10881880,3.6,Amber,—,2021-06-04T15:07:00,2021-06-04T15:07:00,system@alrashdeng.ae,1,True,High Budget
PRJ-031,Gold Souk Extension,Retail Mall,CL-017,EMP-0049,Palm Jumeirah,Plot 698-33,DM-2022-105919,26815336,2022-07-08,2025-06-22,Completed,100,91655,8,School/Educational project in JLT,1080,1080,0,-2.14,26240209,26815336,575127,1.3,Green,—,2022-07-08T07:09:00,2022-07-08T07:09:00,system@alrashdeng.ae,1,True,Long Duration
PRJ-032,Spice Souk Renovation,Utility Infrastructure,CL-040,EMP-0110,Dubai South,Plot 602-74,DM-2021-676884,325447690,2021-03-23,2023-11-08,Completed,100,98869,2,School/Educational project in JAFZA,960,960,0,-13.47,281595772,325447690,43851918,7.2,Red,—,2021-03-23T15:14:00,2021-03-23T15:14:00,system@alrashdeng.ae,1,True,"High Budget,High Risk,High Incident Rate"
PRJ-033,Fish Market Redevelopment,Retail Mall,CL-011,EMP-0069,Bur Dubai,Plot 649-52,DM-2021-196411,284498372,2021-06-15,2023-05-06,Completed,100,96593,4,Villa Development project in JAFZA,690,690,0,-12.95,247642444,284498372,36855928,5.3,Amber,—,2021-06-15T12:23:00,2021-06-15T12:23:00,system@alrashdeng.ae,1,True,High Budget
PRJ-034,Metro Route 2020 Station,Marine & Coastal Works,CL-034,EMP-0073,Bur Dubai,Plot 943-97,DM-2020-780840,122276916,2020-05-01,2022-10-18,Completed,100,7307,2,Utility Infrastructure project in Al Quoz Industrial,900,900,0,13.51,138795608,122276916,-16518692,4.4,Amber,—,2020-05-01T14:15:00,2020-05-01T14:15:00,system@alrashdeng.ae,1,True,High Budget
PRJ-035,Tram Extension Phase 2,Commercial Office Building,CL-025,EMP-0058,Bur Dubai,Plot 841-37,DM-2024-125905,26408935,2024-01-27,2026-04-16,In Progress,58,140493,6,Retail Mall project in Deira,810,766,44,12.48,17228456,15317182,-1911274,7.7,Red,—,2024-01-27T14:31:00,2024-01-27T14:31:00,system@alrashdeng.ae,1,True,High Risk
PRJ-036,Bus Depot Facility,Villa Development,CL-021,EMP-0074,Dubai Marina,Plot 198-22,DM-2023-910883,164146773,2023-08-13,2024-10-06,Completed,100,146026,9,High-Rise Residential Tower project in Dubai Marina,420,420,0,11.95,183759765,164146773,-19612992,5.8,Amber,—,2023-08-13T10:42:00,2023-08-13T10:42:00,system@alrashdeng.ae,1,True,High Budget
PRJ-037,Water Treatment Plant,Commercial Office Building,CL-014,EMP-0075,Expo City,Plot 762-10,DM-2020-883171,469366952,2020-06-18,2022-07-08,Completed,100,184842,3,High-Rise Residential Tower project in JVC,750,750,0,5.56,495473871,469366952,-26106919,3.6,Amber,—,2020-06-18T12:02:00,2020-06-18T12:02:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-038,Sewage Pumping Station,Infrastructure - Roads,CL-036,EMP-0006,Sheikh Zayed Road,Plot 941-30,DM-2021-371212,44324737,2021-11-11,2023-04-05,Completed,100,111858,7,Hotel & Hospitality project in DIP,510,510,0,-13.37,38397651,44324737,5927086,4.1,Amber,—,2021-11-11T13:20:00,2021-11-11T13:20:00,system@alrashdeng.ae,1,True,—
PRJ-039,Power Substation,Retail Mall,CL-001,EMP-0083,Dubai Marina,Plot 874-96,DM-2022-714054,214112222,2022-12-06,2023-12-31,Completed,100,16931,2,Infrastructure - Bridges project in Deira,390,390,0,5.2,225243834,214112222,-11131612,1.8,Green,—,2022-12-06T08:18:00,2022-12-06T08:18:00,system@alrashdeng.ae,1,True,High Budget
PRJ-040,Beach Access Infrastructure,Hotel & Hospitality,CL-025,EMP-0062,Business Bay,Plot 585-21,DM-2025-659381,330647559,2025-04-04,2027-10-21,In Progress,46,62636,3,School/Educational project in DIP,930,333,597,7.96,164202171,152097877,-12104294,3.4,Amber,—,2025-04-04T15:18:00,2025-04-04T15:18:00,system@alrashdeng.ae,1,True,High Budget
PRJ-041,Cycling Track Network,School/Educational,CL-042,EMP-0061,Business Bay,Plot 666-72,DM-2023-248241,165017864,2023-03-12,2024-12-01,Completed,100,37305,1,High-Rise Residential Tower project in Sheikh Zayed Road,630,630,0,5.32,173794621,165017864,-8776757,3.2,Amber,—,2023-03-12T16:25:00,2023-03-12T16:25:00,system@alrashdeng.ae,1,True,High Budget
PRJ-042,Public Park Development,School/Educational,CL-047,EMP-0061,Dubai Hills Estate,Plot 522-83,DM-2022-992819,298950486,2022-12-31,2026-10-11,In Progress,49,139362,3,Mixed-Use Development project in Palm Jumeirah,1380,1158,222,-8.7,133743803,146485738,12741935,3.5,Amber,—,2022-12-31T10:39:00,2022-12-31T10:39:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-043,School Building Complex,Marine & Coastal Works,CL-004,EMP-0112,Bur Dubai,Plot 572-83,DM-2024-676365,109328094,2024-07-21,2026-11-08,In Progress,33,24174,5,Utility Infrastructure project in Dubai Marina,840,590,250,5.13,37928847,36078271,-1850576,2.3,Green,—,2024-07-21T11:06:00,2024-07-21T11:06:00,system@alrashdeng.ae,1,True,High Budget
PRJ-044,Mosque Construction,Infrastructure - Bridges,CL-009,EMP-0091,Meydan,Plot 202-37,DM-2024-749609,394547765,2024-06-06,2026-05-27,Delayed,72,23299,4,Infrastructure - Bridges project in Al Barsha,720,635,85,13.55,322555667,284074390,-38481277,7.3,Red,—,2024-06-06T14:21:00,2024-06-06T14:21:00,system@alrashdeng.ae,1,True,"High Budget,Delayed,High Risk,High Incident Rate"
PRJ-045,Community Hall,Marine & Coastal Works,CL-037,EMP-0061,JAFZA,Plot 538-22,DM-2022-105066,377297497,2022-04-08,2024-10-24,Completed,100,87107,4,Villa Development project in Expo City,930,930,0,2.53,386824628,377297497,-9527131,4.0,Amber,—,2022-04-08T11:53:00,2022-04-08T11:53:00,system@alrashdeng.ae,1,True,High Budget
PRJ-046,Emirates Towers Phase 2,Infrastructure - Bridges,CL-031,EMP-0071,JVC,Plot 467-40,DM-2022-610626,77104893,2022-11-25,2025-10-10,Completed,100,149617,14,Mixed-Use Development project in Dubai Marina,1050,1050,0,5.39,81258846,77104893,-4153953,3.2,Amber,—,2022-11-25T11:54:00,2022-11-25T11:54:00,system@alrashdeng.ae,1,True,—
PRJ-047,World Trade Center Annex,Utility Infrastructure,CL-005,EMP-0103,Dubai Marina,Plot 119-65,DM-2024-762308,483511453,2024-09-10,2026-05-03,Delayed,35,13177,10,Marine & Coastal Works project in DIP,600,539,61,-7.1,157208738,169229008,12020270,2.7,Green,—,2024-09-10T16:13:00,2024-09-10T16:13:00,system@alrashdeng.ae,1,True,"High Budget,Delayed"
PRJ-048,Frame District Mall,Retail Mall,CL-031,EMP-0083,JLT,Plot 474-51,DM-2022-334153,301134775,2022-07-28,2023-09-21,Completed,100,159560,5,Mixed-Use Development project in JVC,420,420,0,-7.18,279508749,301134775,21626026,4.9,Amber,—,2022-07-28T15:32:00,2022-07-28T15:32:00,system@alrashdeng.ae,1,True,High Budget
PRJ-049,La Mer Commercial Hub,Villa Development,CL-040,EMP-0091,Palm Jumeirah,Plot 875-66,DM-2024-247189,218022411,2024-10-09,2026-03-03,In Progress,74,121974,3,Mixed-Use Development project in Sheikh Zayed Road,510,510,0,-14.68,137648744,161336584,23687840,7.0,Red,—,2024-10-09T16:42:00,2024-10-09T16:42:00,system@alrashdeng.ae,1,True,"High Budget,High Risk"
PRJ-050,Bluewaters Office Tower,Infrastructure - Bridges,CL-003,EMP-0057,Al Barsha,Plot 337-9,DM-2022-377198,400093938,2022-07-31,2024-04-21,Completed,100,101845,30,High-Rise Residential Tower project in Dubai Hills Estate,630,630,0,6.96,427941013,400093938,-27847075,1.5,Green,—,2022-07-31T15:58:00,2022-07-31T15:58:00,system@alrashdeng.ae,1,True,High Budget
PRJ-051,City Walk Extension,Hotel & Hospitality,CL-003,EMP-0005,JAFZA,Plot 205-91,DM-2020-646699,213355902,2020-06-05,2023-04-21,Completed,100,171085,5,School/Educational project in Dubai Creek Harbour,1050,1050,0,-0.91,211414847,213355902,1941055,0.7,Green,—,2020-06-05T16:34:00,2020-06-05T16:34:00,system@alrashdeng.ae,1,True,High Budget
PRJ-052,Al Seef Heritage Hotel,Marine & Coastal Works,CL-042,EMP-0121,Dubai Marina,Plot 629-33,DM-2024-494609,98334910,2024-11-20,2028-10-30,On Hold,93,63431,9,Industrial Warehouse project in Al Quoz Industrial,1440,468,972,-3.64,88118568,91451466,3332898,2.0,Green,—,2024-11-20T12:31:00,2024-11-20T12:31:00,system@alrashdeng.ae,1,True,Long Duration
PRJ-053,Ras Al Khor Industrial,Mixed-Use Development,CL-029,EMP-0050,Meydan,Plot 178-66,DM-2023-774734,481296808,2023-11-13,2027-04-26,Delayed,10,78612,4,Mixed-Use Development project in Palm Jumeirah,1260,841,419,0.06,48156204,48129680,-26524,1.8,Green,—,2023-11-13T09:23:00,2023-11-13T09:23:00,system@alrashdeng.ae,1,True,"High Budget,Delayed,Long Duration"
PRJ-054,DIP Logistics Warehouse,Infrastructure - Bridges,CL-047,EMP-0008,Al Barsha,Plot 791-62,DM-2022-602290,359930539,2022-09-20,2024-04-12,Completed,100,60234,10,Mixed-Use Development project in Expo City,570,570,0,-8.09,330813562,359930539,29116977,4.7,Amber,—,2022-09-20T07:15:00,2022-09-20T07:15:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-055,Mudon Villa Community,Mixed-Use Development,CL-009,EMP-0083,Deira,Plot 140-74,DM-2024-253999,73657796,2024-11-16,2026-01-10,Completed,100,19656,3,Infrastructure - Roads project in Palm Jumeirah,420,420,0,2.2,75281652,73657796,-1623856,3.1,Amber,—,2024-11-16T15:25:00,2024-11-16T15:25:00,system@alrashdeng.ae,1,True,—
PRJ-056,Arabian Ranches Phase 3,Commercial Office Building,CL-014,EMP-0071,Al Barsha,Plot 988-62,DM-2024-278852,347321087,2024-05-02,2028-04-11,In Progress,94,62504,7,Marine & Coastal Works project in JLT,1440,670,770,9.64,357951728,326481821,-31469907,4.7,Amber,—,2024-05-02T16:52:00,2024-05-02T16:52:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-057,Damac Hills Clubhouse,Infrastructure - Roads,CL-011,EMP-0103,JAFZA,Plot 564-77,DM-2023-719284,339584253,2023-09-02,2025-07-23,Completed,100,23046,4,Industrial Warehouse project in DIP,690,690,0,4.79,355848513,339584253,-16264260,4.5,Amber,—,2023-09-02T09:06:00,2023-09-02T09:06:00,system@alrashdeng.ae,1,True,High Budget
PRJ-058,JBR Promenade Extension,Retail Mall,CL-044,EMP-0069,JLT,Plot 720-13,DM-2023-286040,113635050,2023-05-11,2024-06-04,Completed,100,129746,10,Marine & Coastal Works project in Downtown Dubai,390,390,0,0.68,114409291,113635050,-774241,3.9,Amber,—,2023-05-11T15:32:00,2023-05-11T15:32:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-059,The Walk at JBR Phase 2,Mixed-Use Development,CL-039,EMP-0075,Business Bay,Plot 893-87,DM-2020-780768,55030981,2020-08-25,2022-03-18,Completed,100,118114,9,Industrial Warehouse project in Al Quoz Industrial,570,570,0,-0.53,54737791,55030981,293190,1.5,Green,—,2020-08-25T07:44:00,2020-08-25T07:44:00,system@alrashdeng.ae,1,True,—
PRJ-060,Burj Area Boulevard,Industrial Warehouse,CL-023,EMP-0076,Sheikh Zayed Road,Plot 200-55,DM-2024-240386,235294142,2024-02-06,2027-10-18,In Progress,71,71720,8,Villa Development project in Dubai Marina,1350,756,594,8.69,181570686,167058840,-14511846,6.6,Red,—,2024-02-06T11:38:00,2024-02-06T11:38:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-061,Opera District Residences,High-Rise Residential Tower,CL-046,EMP-0103,Business Bay,Plot 691-67,DM-2020-223552,224390528,2020-12-07,2024-09-17,Completed,100,141252,1,Industrial Warehouse project in Dubai Hills Estate,1380,1380,0,-7.27,208086647,224390528,16303881,1.5,Green,—,2020-12-07T12:26:00,2020-12-07T12:26:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-062,Address Hotel Expansion,Infrastructure - Roads,CL-017,EMP-0112,Bur Dubai,Plot 533-73,DM-2025-483405,62221430,2025-05-01,2028-03-16,In Progress,64,165400,5,Utility Infrastructure project in DIP,1050,306,744,4.55,41632519,39821715,-1810804,5.6,Amber,—,2025-05-01T10:26:00,2025-05-01T10:26:00,system@alrashdeng.ae,1,True,—
PRJ-063,Vida Creek Tower,Retail Mall,CL-036,EMP-0073,Dubai Creek Harbour,Plot 414-74,DM-2025-461083,425793200,2025-04-06,2029-02-14,Delayed,71,189941,51,School/Educational project in JLT,1410,331,1079,-9.64,273174982,302313172,29138190,3.8,Amber,—,2025-04-06T17:07:00,2025-04-06T17:07:00,system@alrashdeng.ae,1,True,"High Budget,Delayed,Long Duration"
PRJ-064,Rove City Walk Hotel,Industrial Warehouse,CL-022,EMP-0107,Bur Dubai,Plot 728-90,DM-2024-817817,244763798,2024-05-18,2026-07-07,In Progress,22,190280,1,Mixed-Use Development project in DIP,780,654,126,-8.57,49235275,53848035,4612760,3.5,Amber,—,2024-05-18T17:00:00,2024-05-18T17:00:00,system@alrashdeng.ae,1,True,High Budget
PRJ-065,SE7EN Residences Palm,Marine & Coastal Works,CL-028,EMP-0006,Dubai Marina,Plot 369-29,DM-2020-488848,446981912,2020-09-06,2022-01-29,Completed,100,25981,10,High-Rise Residential Tower project in DIP,510,510,0,-10.64,399422379,446981912,47559533,6.5,Red,—,2020-09-06T13:39:00,2020-09-06T13:39:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-066,One Za'abeel Tower B,Marine & Coastal Works,CL-004,EMP-0105,Palm Jumeirah,Plot 755-64,DM-2022-560295,158796998,2022-04-17,2025-12-27,Completed,100,7807,26,Utility Infrastructure project in Deira,1350,1350,0,6.35,168877709,158796998,-10080711,2.7,Green,—,2022-04-17T11:12:00,2022-04-17T11:12:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-067,ICD Brookfield Tower 2,Villa Development,CL-040,EMP-0050,Downtown Dubai,Plot 468-31,DM-2025-786837,425885020,2025-05-08,2026-07-02,Delayed,75,5075,21,Commercial Office Building project in Dubai Creek Harbour,420,299,121,0.47,320929092,319413765,-1515327,0.7,Green,—,2025-05-08T13:22:00,2025-05-08T13:22:00,system@alrashdeng.ae,1,True,"High Budget,Delayed"
PRJ-068,Festival Plaza Extension,Retail Mall,CL-001,EMP-0103,Dubai Marina,Plot 192-71,DM-2022-398313,222674831,2022-05-11,2025-05-25,Completed,100,195352,9,Marine & Coastal Works project in Al Quoz Industrial,1110,1110,0,2.58,228425196,222674831,-5750365,2.5,Green,—,2022-05-11T12:52:00,2022-05-11T12:52:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-069,Dragon Mall Phase 2,Industrial Warehouse,CL-037,EMP-0003,Dubai Creek Harbour,Plot 279-53,DM-2025-630829,126491477,2025-05-26,2027-10-13,Delayed,34,32909,9,Commercial Office Building project in Deira,870,281,589,-1.36,42423396,43007102,583706,3.5,Amber,—,2025-05-26T11:21:00,2025-05-26T11:21:00,system@alrashdeng.ae,1,True,"High Budget,Delayed"
